OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
165,11001009904,426198,0,Census Tract 99.04,District of Columbia,District of Columbia,32306,12825,8485,1875,38603,10236,41518,25953,,,31616,10760,,,,,,,,,,,,,90469,55322,1071,86,5,8,1066,87,0.5,0.746024165,704402.4621,3862.808888,704402.4609,3862.808888
166,11001009905,431557,0,Census Tract 99.05,District of Columbia,District of Columbia,45094,16601,,,53261,34305,48333,10825,27583,14921,46000,13369,,,,,,,,,,,,,,,1139,104,47,48,1092,108,4.1,4.197346188,713249.6097,3739.604369,713249.5703,3739.604369
167,11001009906,252684,0,Census Tract 99.06,District of Columbia,District of Columbia,45074,9491,,,51771,10079,23920,12297,41136,18687,43393,9636,,,,,,,,,61354,37558,,,91250,90365,756,50,52,28,704,56,6.9,3.675659661,417657.1144,2755.680059,417657.1133,2755.680059
168,11001009907,466954,0,Census Tract 99.07,District of Columbia,District of Columbia,31506,2545,,,31489,6212,27180,6204,38600,25038,31332,3033,,,,,,,,,,,,,,,1171,70,22,26,1149,73,1.9,2.217482369,771711.2755,4083.376163,771711.2891,4083.376163
169,11001010100,580133,0,Census Tract 101,District of Columbia,District of Columbia,94250,10146,46364,40704,105000,27505,109196,51637,34620,23952,128750,45461,,,60375,42222,,,,,115909,60704,99707,17608,80385,58375,1766,109,112,61,1654,108,6.3,3.43188219,959294.1145,4429.852283,959294.1211,4429.852283
170,11001010200,1244366,136323,Census Tract 102,District of Columbia,District of Columbia,109844,7760,103906,29944,111052,11148,120357,35971,97941,28418,111435,10356,,,82875,48332,,,,,97125,46472,107321,16731,84135,69400,1539,115,153,84,1386,131,9.9,5.407299603,2056736.982,6895.569029,2056736.984,6895.569029
171,11001010300,1084591,0,Census Tract 103,District of Columbia,District of Columbia,91758,7977,,,101935,24911,108431,16257,50521,19938,59028,24108,,,192031,78645,,,93359,71370,,,138571,65102,101557,11332,1253,84,129,49,1124,104,10.3,3.849226896,1797137.843,6931.498868,1797137.836,6931.498868
172,11001010400,2614156,7006,Census Tract 104,District of Columbia,District of Columbia,38037,6539,,,39206,12525,32399,13974,38194,20039,38002,6420,,,,,,,,,,,,,,,1608,141,58,44,1550,145,3.6,2.717977902,4327751.785,9769.313325,4327751.789,9769.313325
173,11001010500,749891,0,Census Tract 105,District of Columbia,District of Columbia,79063,20665,37222,29352,88333,27730,,,48200,46572,46667,9334,,,69450,37553,,,,,,,112266,16452,,,2290,155,129,72,2161,163,5.6,3.120899915,1239276.327,4758.209068,1239276.328,4758.209068
174,11001010600,1231590,0,Census Tract 106,District of Columbia,District of Columbia,107607,6891,59821,12881,114487,16675,107688,34611,,,75820,29013,,,106985,63690,,,,,102899,56239,125253,15760,77583,35449,3716,203,283,94,3433,224,7.6,2.495155065,2036555.337,6759.818196,2036555.328,6759.818196
175,11001010700,891593,0,Census Tract 107,District of Columbia,District of Columbia,73688,11236,41063,13364,81500,11025,108224,44154,,,,,,,30962,10445,,,81771,55624,,,78375,11597,78472,13624,1101,84,97,51,1004,96,8.8,4.583124568,1474360.098,4919.356124,1474360.094,4919.356124
176,11001010800,661580,0,Census Tract 108,District of Columbia,District of Columbia,45278,14920,6467,6243,84833,27125,,,45500,13163,,,,,,,,,2499,,,,47792,14519,,,782,89,66,44,716,101,8.4,5.544001446,1093808.825,4478.867308,1093808.801,4478.867308
177,11001010900,2381119,2935328,Census Tract 109,District of Columbia,District of Columbia,41660,5709,15438,5554,45644,8811,43359,7043,23510,16378,42015,5511,,,,,,,,,,,,,,,1263,106,44,50,1219,122,3.5,3.948016325,3943687.656,12536.81023,3943687.66,12536.81023
178,11001011000,654089,364121,Census Tract 110,District of Columbia,District of Columbia,84375,20679,,,99125,42566,97438,26979,64833,23326,45148,20063,,,110714,17468,,,,,,,96500,15787,133445,61179,2645,172,315,129,2330,215,11.9,4.815247391,1073066.565,5980.669785,1073066.566,5980.669785
179,11001011100,5718693,366232,Census Tract 111,District of Columbia,District of Columbia,79628,18145,,,139028,99906,78750,42960,47061,31355,63929,23729,,,223750,164151,,,,,87159,28736,117857,60215,,,1741,97,95,59,1646,111,5.5,3.375192634,9485787.001,23729.16277,9485786.938,23729.16277
