geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",1670,58.6,44.0,4.4,34.6,51.0,0.0,3.8,0.0,2.7,"Census Tract 23.02, District of Columbia, District of Columbia",2.8,33.7,53750,41204,"Census Tract 23.02, District of Columbia, District of Columbia",773,1.85,2.59,1429,53.4,"Census Tract 23.02, District of Columbia, District of Columbia",920,773,920,0,158,615
1400000US11001002400,"Census Tract 24, District of Columbia, District of Columbia",4206,43.6,35.9,16.6,34.3,44.9,0.0,1.9,0.0,0.2,"Census Tract 24, District of Columbia, District of Columbia",2.9,33.5,102424,47252,"Census Tract 24, District of Columbia, District of Columbia",1418,2.91,3.49,4131,59.1,"Census Tract 24, District of Columbia, District of Columbia",1529,1418,1529,20,860,558
1400000US11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",3289,53.5,34.8,33.3,20.6,42.9,0.0,1.2,0.0,0.4,"Census Tract 25.01, District of Columbia, District of Columbia",1.3,36.7,79000,42212,"Census Tract 25.01, District of Columbia, District of Columbia",1040,3.12,3.52,3246,31.2,"Census Tract 25.01, District of Columbia, District of Columbia",1088,1040,1088,0,493,547
1400000US11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",6451,52.4,34.7,35.3,22.9,33.6,0.0,3.4,0.0,0.0,"Census Tract 25.02, District of Columbia, District of Columbia",3.8,33.7,75101,44130,"Census Tract 25.02, District of Columbia, District of Columbia",2493,2.56,3.84,6380,42.4,"Census Tract 25.02, District of Columbia, District of Columbia",2645,2493,2645,64,910,1583
1400000US11001002600,"Census Tract 26, District of Columbia, District of Columbia",2585,46.5,42.7,7.5,45.6,36.9,0.3,6.0,0.6,0.6,"Census Tract 26, District of Columbia, District of Columbia",4.7,33.0,184750,85070,"Census Tract 26, District of Columbia, District of Columbia",944,2.73,3.16,2580,88.8,"Census Tract 26, District of Columbia, District of Columbia",999,944,999,0,647,297
1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",6183,52.8,32.7,32.4,43.2,19.1,0.3,2.7,0.0,0.0,"Census Tract 27.01, District of Columbia, District of Columbia",2.3,32.4,74161,48730,"Census Tract 27.01, District of Columbia, District of Columbia",2653,2.27,3.55,6015,62.7,"Census Tract 27.01, District of Columbia, District of Columbia",2695,2653,2695,0,707,1946
1400000US11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",6263,46.0,34.0,22.5,54.0,11.5,0.0,4.5,0.0,3.9,"Census Tract 27.02, District of Columbia, District of Columbia",3.2,29.9,93553,61434,"Census Tract 27.02, District of Columbia, District of Columbia",2420,2.58,3.07,6235,68.5,"Census Tract 27.02, District of Columbia, District of Columbia",2582,2420,2582,0,1052,1368
1400000US11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",4151,51.0,29.5,35.3,27.9,31.6,0.0,3.1,0.0,0.0,"Census Tract 28.01, District of Columbia, District of Columbia",5.1,31.1,56310,37005,"Census Tract 28.01, District of Columbia, District of Columbia",1630,2.53,3.62,4120,47.6,"Census Tract 28.01, District of Columbia, District of Columbia",1805,1630,1805,0,262,1368
1400000US11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",5172,45.6,31.0,35.5,30.6,22.4,0.0,6.8,0.0,0.8,"Census Tract 28.02, District of Columbia, District of Columbia",6.5,33.4,73889,44066,"Census Tract 28.02, District of Columbia, District of Columbia",2128,2.39,3.36,5080,56.5,"Census Tract 28.02, District of Columbia, District of Columbia",2180,2128,2180,32,437,1691
1400000US11001002900,"Census Tract 29, District of Columbia, District of Columbia",4424,49.3,31.2,29.0,39.0,24.7,0.0,3.5,0.0,0.0,"Census Tract 29, District of Columbia, District of Columbia",3.3,33.6,95052,53653,"Census Tract 29, District of Columbia, District of Columbia",1551,2.84,3.75,4409,61.9,"Census Tract 29, District of Columbia, District of Columbia",1696,1551,1696,16,715,836
