geo_id,name_x,median_age,pct_hisp_latino,pct_black,pct_asian,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,avg_household_size,pct_bach_degree,median_rent,pct_other_minority,pop_density,pct_renter_occupied
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",21.6,6.0,59.3,3.4,3.2,31.4,91761,2.76,62.7,1082,0.5,3.574235807860262,0.45778748180494905
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",23.3,6.6,65.4,4.0,4.4,26.9,91638,2.28,61.8,1294,1.4,4.089328063241107,0.616600790513834
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",32.2,18.2,24.2,11.3,2.4,30.4,100417,2.3,71.9,1519,0.0,2.1414847161572053,0.6148471615720524
1400000US11001003700,"Census Tract 37, District of Columbia, District of Columbia",32.2,27.2,35.5,4.0,4.8,27.5,74980,2.01,52.5,1332,0.0,1.8136831617402855,0.6815011624045167
1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",34.4,22.7,17.9,5.8,1.4,32.3,101627,1.8,73.4,1749,2.1,1.7036791514749752,0.6837918462048392
1400000US11001003900,"Census Tract 39, District of Columbia, District of Columbia",36.5,10.4,10.4,6.6,2.5,30.9,105250,1.64,85.2,1777,0.4,1.5526583135794108,0.5929563156112428
1400000US11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",33.9,12.7,6.6,2.1,4.4,29.4,138804,2.2,90.5,2242,0.7,2.046940486169321,0.49245599329421624
1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",35.2,6.8,3.9,5.9,2.6,30.3,117045,1.74,94.4,1951,0.4,1.5316582914572865,0.4949748743718593
1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",46.8,8.5,4.2,7.2,2.3,24.6,156486,1.81,92.5,2033,0.7,1.5598526703499078,0.41559238796807857
1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",31.7,8.1,5.3,3.0,1.7,27.2,123148,1.85,90.4,2005,2.3,1.7448015122873346,0.6172022684310019
1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",34.1,14.7,0.8,5.7,3.2,22.9,105742,1.42,92.6,1855,0.5,1.316538882803943,0.572289156626506
1400000US11001004300,"Census Tract 43, District of Columbia, District of Columbia",35.2,13.5,19.7,3.7,2.4,27.0,97688,1.84,78.3,1627,0.6,1.7352064708386548,0.5862068965517241
1400000US11001004400,"Census Tract 44, District of Columbia, District of Columbia",33.7,7.0,25.1,6.0,4.3,26.8,179932,2.04,85.8,2681,0.9,1.8832404066907182,0.401443096097081
1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",34.9,8.6,44.9,5.6,4.2,27.5,112000,2.1,60.8,1383,0.0,2.0342281879194632,0.45302013422818793
1400000US11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",30.6,4.6,59.0,10.3,7.1,26.6,48851,1.86,49.9,1063,0.3,1.5927072583419333,0.7103543171654627
1400000US11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",33.1,7.9,29.7,6.8,2.8,25.6,107885,1.65,72.0,2423,0.7,1.7584745762711864,0.788135593220339
1400000US11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",31.1,8.3,34.4,3.8,2.3,28.7,115625,2.36,69.7,2026,1.7,2.18209179834462,0.5590669676448458
1400000US11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",33.6,7.4,42.9,11.1,0.5,24.4,90000,2.03,54.3,1366,0.3,1.945904173106646,0.7851622874806801
1400000US11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",32.4,17.8,32.4,3.9,3.8,27.1,116964,2.07,68.9,2100,0.4,1.976522842639594,0.7519035532994924
1400000US11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",31.9,20.1,23.9,9.2,2.7,24.9,120054,2.11,70.1,2063,2.1,2.021104903786468,0.6163873370577281
1400000US11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",35.5,14.1,11.0,5.9,2.9,26.4,145208,1.94,83.3,2243,0.8,1.95561850802644,0.5165250236071766
1400000US11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",34.1,23.4,21.2,8.2,2.7,23.7,87361,1.71,68.2,1806,1.0,1.5989085948158255,0.7004092769440655
1400000US11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",33.3,14.3,10.5,5.2,1.9,23.8,110441,1.52,81.8,1924,1.7999999999999998,1.4047831917746982,0.6041573535985695
1400000US11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",33.1,8.8,2.5,11.3,2.0,25.4,94436,1.45,95.5,1855,0.3,1.367291496875849,0.5794621026894865
1400000US11001005500,"Census Tract 55, District of Columbia, District of Columbia",35.1,8.2,6.5,9.2,1.2,23.9,100982,1.61,90.3,2366,0.0,1.4786800942789802,0.5631026355260339
1400000US11001005600,"Census Tract 56, District of Columbia, District of Columbia",28.6,15.3,6.0,12.7,2.5,22.2,83722,1.54,87.6,1842,1.3,1.6043956043956045,0.4612887112887113
1400000US11001005800,"Census Tract 58, District of Columbia, District of Columbia",42.7,9.2,9.0,16.6,6.4,19.7,143268,1.49,81.6,2582,0.0,1.2445014662756597,0.5428885630498533
